,time,open,high,low,close,volume
2320,2022-04-28 09:40:00,884.96,885.0,860.0,860.0425,1190379
2321,2022-04-28 09:35:00,899.98,900.0,884.5,884.7,959257
2322,2022-04-28 09:30:00,900.0,901.56,894.1,896.3,54929
2323,2022-04-28 09:25:00,901.0,901.5,900.33,901.25,10403
2324,2022-04-28 09:20:00,899.0,901.5,899.0,901.0,10782
2325,2022-04-28 09:15:00,899.5,900.0,899.48,899.6,5729
2326,2022-04-28 09:10:00,899.2,901.0,899.2,901.0,17675
2327,2022-04-28 09:05:00,898.01,901.59,897.0,899.0,20491
2328,2022-04-28 09:00:00,897.0,898.85,896.4,898.0,16404
2329,2022-04-28 08:55:00,898.05,898.1,894.6,897.0,36535
2330,2022-04-28 08:50:00,901.25,901.25,898.0618,898.0618,21714
2331,2022-04-28 08:45:00,902.46,902.56,901.121,901.121,13972
2332,2022-04-28 08:40:00,901.36,901.36,900.03,901.0,11936
2333,2022-04-28 08:35:00,901.5,902.5,900.2696,901.45,15163
2334,2022-04-28 08:30:00,903.0,903.5,902.0,902.0,6937
2335,2022-04-28 08:25:00,903.15,903.5,902.5,903.25,3699
2336,2022-04-28 08:20:00,902.28,903.65,902.28,902.95,15847
2337,2022-04-28 08:15:00,902.5,902.64,901.5,902.64,7733
2338,2022-04-28 08:10:00,903.89,904.0,902.5,902.52,5425
2339,2022-04-28 08:05:00,899.15,910.0,899.15,904.0,38790
2340,2022-04-28 08:00:00,904.5,904.5,903.06,904.0,5940
2341,2022-04-28 07:55:00,905.95,906.0,905.0,905.0,3284
2342,2022-04-28 07:50:00,905.5,906.0,905.5,905.95,3135
2343,2022-04-28 07:45:00,905.36,906.0,905.36,906.0,2183
2344,2022-04-28 07:40:00,905.4,905.4,905.0,905.0,1830
2345,2022-04-28 07:35:00,907.0,907.0,905.8,905.8,2318
2346,2022-04-28 07:30:00,905.03,907.0,905.03,906.5,10574
2347,2022-04-28 07:25:00,906.5,906.5,905.03,906.5,6741
